speaker,timestamp,words
Lola Gamble Clyde,0:05:48,"The mouse thought for a minute and then he said, well, her name was all gone. Oh, oh, said the cat. What very strange names your sister's daughters do have top off half done and all gone. Well, the days and the weeks and the months went by and winter came on and the snow blew and it grew cold and the little cow could get no more grass and she dried up and there was no more milk, no more cream, no more butter. Then the cat got to thinking that delicious fresh butter that was hidden deep in the hole in the forest. So he said, now, Mr. Mouse, this is what we've been saving all summer for was against this day of cold. We will go out to the deep woods and get some of that nice, fresh, sweet butter. So they went out through the snow and the cold. They came at last to the tallest tree and they raked off the snow and the ice. They raked off the leaves. They dug down through the dirt. They took off the lid and behold, the butter was all gone. And then the cat said, Oh, Mr. Mouse, now I know why your sister's daughters had such very strange names. Top off half done and all gone. You wicked cat, you wicked mouse, you, you eaten up all the butter we saved for the winter. Now I shall eat you. And he did. And ever since then, cats and mice have been very bitter enemies."
Lola Gamble Clyde,0:07:32,Those were good old time stories to tell the kids.
Sam Schrager,0:07:35,Where did you hear that story from? Did you tell were you told that story when you were young?
Lola Gamble Clyde,0:07:39,"Well, no, I think it was in the old time reading books at school. But that's a good story anyway. It teaches you to be frugal and saved against the cold winter day. You know, and not to be lying to other people about what you're doing because you got caught and then he got eaten. You see, so that was very wicked, very wicked mouse."
Lola Gamble Clyde,0:08:03,That's a good story. I do too.
Lola Gamble Clyde,0:08:07,I think that's a good story.
Lola Gamble Clyde,0:08:11,I love ghost stories for kids.
Sam Schrager,0:08:13,You know any ghost stories if you told kids?
Lola Gamble Clyde,0:08:19,"Oh, I am. I'm not so familiar with the ghost stories that I think back in the old days, we all were brought up on Little Red Riding Hood, you know, and and the Wicked Wolf and that sort of thing. And they weren't the modern versions. They weren't the modern versions either, you know, but they were the old time stories. And Jack and the Beanstalk and stories of fairies and dragons. Grimm's Brothers Fairy Tales was a favorite in all the early days. And I think that was certain folklore handed down through them. Through the ages and many different versions of the Hansel and Gretel story. And they started as folklore that came down through us and all the stories of Robin Hood and his Merry Men and Sherwood's Green Forests. They started as folklore that were passed down in varying forms. Even the stories of the Knights of the Round Table and the legends of King Arthur. They were passed down by word of mouth for many, many centuries before they were finally written down into written form. But they all symbolized the stories of adventure and the things we would like to happen. And they painted good ideals for people. And in all the early cultures, there was that desire on the part of the folks to train the children in good ways. Right here in our own neighborhood, the Nez Perce's have many interesting stories and they use them like we do Aesop's Fables to point good lessons to their children. And they have a very interesting story of their own creation. And I tell this a lot to the school children because it shows how all of us have to have satisfied our curiosity of how we came to be here. And the story of their creation is that long before there were any people in the world, all the world was ruled over by animals. And the king of all these animals was old Coyote. And he had been chosen because he was the shy of so sly and so cunning he could outwit all the other animals. So he was chosen ruler. And of course, Coyote Great bears that name. And the story is that one day he was down along the Salado Canal, which was there. Heritage fishing ground from time immemorial. And he looked back up into the beautiful Kami 'i country. And it has always been considered the heart of the Nez Perce country. And we saw the mountains shivering and the trees crashing to earth. And the lightning was flashing so you could see it clear down with Solano. And a great thunder was roaring and filled the valley with the noise. So old Coyote said something terrible is happening in my animal world. So up Columbia, up the snake, up the river, man, they came at last to the beautiful Kami 'i Valley. And there in the valley, a huge dragon and the tail was so long it reached clear up to Cuskey. And the tail was threshing around and knocking down the trees and the mountains, causing earthquakes. And the roaring of his voice in anger was the thunder that filled the valley. And the lightning that was flashing so far away for miles was the anger flashing from his eyes. He had a long tongue and on the end was a suction cup. He'd dart his long tongue out and into his great maw he would suck all the animals of the world, the deer and the elk and the bison. Now, as we know, old Coyote was very, very smart. So he sharpened his long flint spear and he let the old dragon take him down into his maw. Once inside he hiked away at the dragon's ark till he killed the dragon. Then he sharpened the knife and split the dragon open and out walked all the animals of the kingdom again, free. Then old Coyote took his sharp knife and he cut off the long flat head of the dragon. He threw it out over the shining mountains and this became the flathead Indians. Then he took the sharp knife and he cut off the little short black feet of the dragon threw them over the shining mountains and maybe came the black feet Indians. Then he took the bitter gall of the dragon and from these he made the bitter watering Cayuse Indians. But lastly, he took the heart and the brains of the dragon and from these he made the Nespers Indians. And that's why they were the bravest and the kindest and the most hospitable and the most intelligent of all the Indian tribes. But and Lewis and Clark build that out in their diaries. He said the Nespers were the most intelligent and the kindest and the cleanest of all the Indians they met on their trip and on. Old coyotes hands were a few drops of blood. So we washed them in water and he sprinkled them up and down the Clearwater Valley and up spraying the little cows plant to feed the people that he'd made. But for the gizzard and the liver of the dragon, they couldn't make anything. So he left them lying there in the valley and there are two huge rocks there about as big as every size room that are called. Some people call it the heart of the dragon. But if they made the Nespers out of the heart, it must be the gizzard. Gizzard and the liver of the dragon are still lying there for all the world to see. Now the Nespers used fables to teach their children just as we use a sub fables to teach hours about slow and steady wins the race and the crow and the pitcher and various ones. Whenever they saw unusual rock formation, they would make up a story about it to explain how the rock formation got there. And the entrance to Hackway Creek is a huge rock and it's about the size of an average room and on the back a great clumps of rocks that look like warts. And this is called the Old Toad Lady of Hackway Creek. And the story is that long ago there were many fish up Hackway Creek, but the old lady wouldn't let anybody throw up there to fish, but just herself. And there were many deer that grazed along the walls of the canyon, but nobody could get a deer but just herself. So old coyote said, you're a very selfish old lady. I'll turn you in to the Toadwoman of Hackway Creek and you can stay right here at the entrance and guard it for all eternity. And that was a lesson not to be so selfish. Come on in."
Sam Schrager,0:15:16,"How are you, darling?"
Lola Gamble Clyde,0:15:18,"You've got your recorder going. Well, I can tear it off. Yeah."
Sam Schrager,0:15:24,So were you first found out those stories? Vanessa's first stories?
Lola Gamble Clyde,0:15:30,"Well, my brother Gus here and his other brother farmed lots of Indian land. And these were quite word of mouth stories among all of them. And I knew them long before they were ever written down. In fact, we encouraged Wilford Half Moon and those kids to get them written down that they should do it themselves. So they came up here in the upward bound program, which my daughter Isabel heads. That's when the first things they did was got out the little book of Indian legends. And it has received very good. It's been well received and they it's paid its own way in the end some. And that was a good thing to do because it gave them pride in their own heritage. And as we had told had told our children and had been told by our parents, the Ace of Fable stories, that was the way the children there were instructed. And it's a good it's a good way."
Sam Schrager,0:16:35,"Did you know, did you hear from from them any stories about what happened to kids that weren't good kids?"
Lola Gamble Clyde,0:16:44,"Oh, yes. Kids that didn't mind they were there were all kinds of bad things happened to them. They disappeared. Old wolf women would come and get them and so on. I am I was going to show you my picture of the sleeping warrior. Nearly all nearly all communities have on the hillside and on the horizon sleeping warriors of some kind. But this one was a little unique in that it came and it went and this right where the where the state highway goes through across from Hatway Creek against the mountain lies this sleeping warrior figure. And you can see his his neck and his chin and his mouth and his nose and his high forehead and then spilling down over the rocks toward the river. Fall big eagle headdress of a chief. And the story was that the great spirit had promised the Nez Perce people a leader who would rise up in their hour of greatest danger to protect them. So the story was when they were ordered onto the reservation. Young chief Joseph came among them. And of course it was he who took the women and the children and the aged and the wounded out over the low trail to his ultimate defeat and surrender at the Battle of the Bear Paw within less than 50 miles of the Canadian border where he had hoped to rendezvous with Custer was not with Custer but with the sitting bull who had just defeated Custer at the Battle of the Little Bighorn. He'd already gotten away in the candidate. Well he was within less than 50 miles 35 miles maybe the Canadian border when winter rather than the white men overtook him and he made his famous surrender speech. And of course he and his followers were sent down onto the Oklahoma reservation where over half of them died with malaria. And then he was sent to the Massphalem reservation where he died in nineteen three. So all these years that Joseph was gone and while Joseph was there to lead them. What the figure was gone from the mountain and it wasn't until he died that back to the hillside came the sleeping warrior and there he lay. And when I was on the board that established the Nez Perce Park down there we talked then to some of the Indian leaders did they want the bones of chief Joseph brought back and buried there in the park. I said oh no just leave him where the white men put him. He's right here among us and if we ever need him again he'll come down off the mountain and lead us. So our sleeping warrior differs from most of the sleeping warriors because the sleeping warrior comes and goes. But so far he's there."
Sam Schrager,0:19:36,Did people really report that he disappeared?
Lola Gamble Clyde,0:19:40,Oh yes he wasn't there. And it could be that the weeds had grown up you know or the topography had changed a little from growth of things.
Sam Schrager,0:19:50,What period of time he wasn't there during the time that he was leading?
Lola Gamble Clyde,0:19:54,And that's right he wasn't there. And it wasn't until he died that he came back. He died in nineteen three and of course the Nez Perce War was 1877. Seventy seven. Then he bought thirty six years that the warrior was gone and then back he came and and that's one of their traditions and right underneath the sleeping warrior are two snakes locked in battle. There are black marks across the canyon and one of them is a rattlesnake and the other is the bull snake. And the story is that they were locked in deadly combat and old coyote came along and he said oh my this is utter futility. The bull snake has such a big mouth he can swallow the rattlesnake all the way down and the rattlesnake has deadly poison in his veins. He could sting the bull snake and kill him once he was swallowed. So they both be dead. So I'll just turn you both into rock and you can be a lesson to the people to try and get along with each other because nothing is obtained by quarreling and fighting. You'll both be defeated. So there there stands the bull snake and the rattlesnake as lessons for the children.
Sam Schrager,0:21:11,Well do you remember any of the lullabies that the pioneers used to tell their kids?
Lola Gamble Clyde,0:21:19,"Well let's see. Oh I think most of us heard Rock -a -Bite Baby on the tree top when the wind blows the cradle will rock when the bar breaks the cradle will fall down will come. Baby cradle and all. And of course that was taken from the Indian lullaby and that was that was a good one. And and I can remember them singing. Brahms, lullaby, lullaby and goodnight you know. And that's a famous one."
Lola Gamble Clyde,0:21:55,"And and I've often heard by baby bunting, Daddy's gone to hunting, gone to get a rabbit skin to wrap the baby bunting in and that has a nice rollicking tune."
Lola Gamble Clyde,0:22:13,"And I've heard the C1 about a five sweet and low song many times and in our own local community the Scandinavian people had brought their own lullabies with them with their own Scandinavian words and they used them in this country far from their far from their own countries. Those words and music stayed with them and many of those people sang their native songs in their native language in their churches and the sermons would be preached in the Scandinavian language for many many years. It's only just in the very most recent years when that they quit doing that and they're done in English because the old people coming from the old country enjoyed hearing their their own language and made them feel closer to home. I guess that what I what I'm really wondering about in the artist is what children what kids were like in those days and what what the children and the pioneers when they were kids what they were interested in. I think of what the kids are interested in today and I imagine that's really quite different. Well I think so too. Well I think the kids of those days had to make their own fun you know. They they would cut little wheels off a tree off a tree trunk you know like when the tree was about a foot in diameter 18 inches in diameter and those round blocks would make good fields and then they take a little box apple box or any little wooden boxes. More things came in wooden boxes those days they could make themselves little wagons and the girls even as girls down through all the ages played house. We as my sister and myself we always had a little playhouse going on and often we had little rag dolls made and sometimes we've got little china dolls for Christmas and we'd have a whole we had a whole family of them and we added to them and had more more children and big families of them. We used to take a bottle put a cork in it and fill the bottles with water and make running water in our house. That was one of the things we dreamed of having was plenty of water because we had so little water there on the place and dressing dolls and cooking with the mud pies all that went on and making little barns and little fields to plow and taking little potatoes and making them into little horses and cattle and tiny ones into sheep and pigs running little sticks in for legs and horns and then hooking them up taking little spools maybe and putting nails in them to make harrows. We could grott and harrow the land with those spools full of nails and any kind of hidden cans could be made to work for little plows and that sort of thing and most of the play had to be pretty much according to our imaginations because we couldn't go into town and just buy anything we wanted for our farms. So we had to make our own, our own little animals and our own dolls and our own houses and our own little fields and we played what the adults were doing but we made it in miniature. I think that's the best way I can explain it. And in the winter there was a usual making of wooden sleds to go coasting with and taking boards and steaming them so the pints would turn up and make a sort of a rude sort of skis and putting a rubber leather strap across to hold it on our feet and slide down the hill on our skis."
Lola Gamble Clyde,0:26:25,Those were the games largely and the sort of play that we engaged in. It was a replica of what the grownups did when they were done in miniature with the things we could find to use.
Sam Schrager,0:26:39,"Do you think there was much difference between what the girls, little girls did and what little boys were interested in?"
Lola Gamble Clyde,0:26:46,"Oh I think now, I think they kind of, the boys generally patterned after what their fathers were doing like heading in the fields and plowing and seeding and threshing. Threshing was great stuff that was high adventure and the girls patterned after what their mothers were doing, what their mothers and the big sisters were doing. And that was the thing they did and it was all acted out with dolls and the boys with their potato horses and their potatoes and their other things that they made themselves and done themselves."
Sam Schrager,0:27:23,"What do you think the kids thought about their parents and the adults and what the adults were doing? You say you were copying them in a court, I guess that makes a lot of sense, but I'm thinking of were the kids very afraid of their parents in those days?"
Lola Gamble Clyde,0:27:43,"I think so, I think much more so than now. Nowadays the kids are urged and encouraged to communicate and express themselves you know. And in those days, my father being from the old country he believed that children should be seen and not heard. And one of his favorite expressions was, sit down and draw your tail under you, which wasn't very complimentary. Yes, I think the children were much more afraid of their parents than the kids are now. Nowadays most of them call their parents by their first name you know."
Sam Schrager,0:28:22,Do you think there was more discipline coming from the father than the mother in those days?
Lola Gamble Clyde,0:28:28,"Yes, I think the fathers ran the thing and told the women what to do and the children what to do. And I think that's right, especially the old country men. They had been brought up where the man was God Almighty in the family you know. He was the ruler of the roost and they ran it with an iron hand and the women were sort of serfs and slaves for them. And I think that was quite true."
Sam Schrager,0:29:04,"I'm thinking now of the kids from the kids point of view, would he be more likely or she be more likely to go to mama to try to get something than go to papa?"
Lola Gamble Clyde,0:29:19,I think that was generally the way that went.
Lola Gamble Clyde,0:29:24,"But as far as the day to day contact, I imagine the kids would see the mother much more. Yes, that's right. They saw the mother much more."
Lola Gamble Clyde,0:29:32,"Because it was such a hard job just making a living you know, just getting enough food to fill those stomachs. I think they had such large families, most of the people. And they'd all come up the hard way where it was just hard to get enough food to eat. And doctors were few and far between and health wasn't considered. It didn't have the prime importance of the dozen now because everybody died much younger. And many of the families said, well, we had 14 children, we raised 7 of them. And that was a good average, we raised 7. And there wasn't a health care that developed later on."
Sam Schrager,0:30:22,What would usually be what would take the children?
Lola Gamble Clyde,0:30:26,"Well, in the very early days before we had any kind of toxins, antitoxins, all diphtheria. Kids died with diphtheria here. There were lots and lots of little graves out in the Moscow cemetery. From the year of 1877, the Black diphtheria swept through. And while we had a couple of real good doctors, we had Dr. Blake."
Lola Gamble Clyde,0:30:53,"And lots of tiny headstones out in the Moscow cemetery that date back to the great diphtheria epidemics of 1878 and 1877. And there wasn't anything they could do. They didn't have the means of it. And then for many years, diabetes in the young kids was just fatal. It was a death sentence when you knew they had diabetes. It wasn't until 1922 that insulin was discovered. So you see, that's just the beginning. And so many things couldn't be vaccinated for."
Sam Schrager,0:31:34,What about consumption?
Lola Gamble Clyde,0:31:36,"Yes, it was much tuberculosis. And they called it consumption. And it was tuberculosis to the lungs, and it spread like wildfire. Lots of them died with that. Yes, young children, young."
Sam Schrager,0:31:51,"Do they have ways of treating it, at least things they tried to do?"
Lola Gamble Clyde,0:31:54,"Well, yes, the things they tried to do. They put them in bed."
Lola Gamble Clyde,0:31:57,I don't think that Alan and Doolittle would uphold it.
Lola Gamble Clyde,0:31:59,"They don't. They would put them to bed. Drink lots of milk was the favorite thing. Try to build them up. Sunshine. Cod liver oil, that was a favorite remedy for tuberculosis. Drink lots of cod liver oil. And they gave it for colds and various things. Drink cod liver oil. So they were on the right track of part of it anyway. Did they separate the kids that had... No, no. They never tried to separate them. Then you were so little about sanitation, about washing your hands before meals, and that sort of thing. And many families lost a lot of the children through tuberculosis. Yeah, that was real bad."
Sam Schrager,0:32:55,What were you going to say?
Lola Gamble Clyde,0:32:56,"Well, I was just going to say, even measles and things that we don't consider so deadly. Many complications would arise. They had no way of treating them. High fever meant nothing to them. They had nothing to reduce the fever with. And it wrings rags out of cold water and put on the children. And the other favorite thing was to sweat them, put them in bed, and pour hot tea. Have them drink lots of hot tea and put hot irons around them and load the blankets on them until they try and sweat it out of them. And many of the things were so very primitive and they had so little to do with. And then, of course, the overall medical knowledge wasn't available. They didn't know you could vaccinate for whooping cough."
Sam Schrager,0:33:50,Did they use the sweat? Was that just for measles or for various?
Lola Gamble Clyde,0:33:55,"Well, many things. Any kind of a bad cold, it swelled out of you and wrapped them in blankets. And many of them had a bad cough of any kind. Take a piece of red flannel, preferably, dip it in coal oil and wrap it around your neck. Rub your chest with goose grease, goose grease and turpentine. And hang the little asafetida sac around your neck."
Sam Schrager,0:34:22,Sac of what?
Lola Gamble Clyde,0:34:23,"Asafetida. It was a horrible stinking thing. Not only would it keep the germs away, it would keep everybody else away. Nobody would come near them without stinking around them. So maybe it had a point there, you know. Was that made out of a... It was kind of a wax thing. It was called asafetida. And I'm not sure what it was made out of. I'd have to go look it up for you. But that was a favorite remedy and the stink of it was enough to... It must have been highly potent to smell like a bit."
Sam Schrager,0:34:54,"Well, do kids tend to get sicker more easily then besides the fact that they had the virus?"
Lola Gamble Clyde,0:35:01,"Yes. Oh yes. I'm sure they did. They didn't have the vitamins. They weren't so conscious of health. Sanitation was so poor. Water was scarce. They didn't wash their hands before meals. They didn't brush their teeth three times a day. They knew so little about the right food. You'd get an orange once a year at Christmas time. You'd get an orange. Most of all the early day farms in this country, of course, had apples. And they believed in eating apples. But there was no orange juice like we have nowadays. Most of the early homesteaders had milk cows, of course. And they knew the value of seeing that the children got lots of milk. And once again, when they did go to town after some sort of a remedy, it would generally be cod liver oil and then turpentine to mix with goose grease and rub it on their chests for congested lungs and that sort of thing. Calamel. If there's anything wrong with the digestive system, give them a dose of calamel or a dose of Epsom salts. It was the cure -all for everything."
Lola Gamble Clyde,0:36:21,"And they certainly, when it comes to medicine -wise, they certainly weren't very good old days as far as we know them."
Sam Schrager,0:36:31,Can you remember sickness in your family and any of the kids?
Lola Gamble Clyde,0:36:34,"Oh, yes. I remember lots of sickness among us. And it was generally sore throats and coughing and croup. And croup was - of course, they didn't know to use a steam kettle in those days. And an onion polis. They'd chop up a lot of onions and fry them until they were mushy, and put it in a flannel rag and put that on the chest to relieve the croup symptoms, the choking symptoms. And hot foot bears were great stuff. That was to get up a sweat. And then when you got the sweat running off of you, go into bed and pile the blankets on and that would break up the fevers."
Sam Schrager,0:37:19,Did it work?
Lola Gamble Clyde,0:37:20,"Oh, I don't think so. I hold no - I hold no brief for any of those old folk medicines. I just - I never had. And the first time I heard of polio, my little cousin got it. And they had lost one boy with spinal meningitis. And then this next little boy got infinitesimal paralysis and the left of him crippled. But they knew nothing to do for it. You just hoped that you wouldn't get it and that was all. So we've come a long way, and I'm - I don't enjoy those good old days half as much as some people do. I just like to think about some good toxin -antitoxins, some good immunization for the children. And when I started teaching in school about 1920, the first thing I was wanting to do was get every child in the school vaccinated for everything there was a vaccine for. And I was instrumental in getting the health unit started in the town of Moscow because I just see so much suffering and so much unnecessary sickness by lack of it. And every place I went to teach, the first thing I tried to do was get health nurses to get out and put it on a good immunization program for the - especially for the rural children."
Sam Schrager,0:38:52,Were you here when the flu hit?
Lola Gamble Clyde,0:38:55,"Oh yes. Yes, I was in high school and they closed the high school down and our superintendent, J .H. Rich, died with it. And many, many people just died. There was just nothing - there was just no remedy for it. And we had soldiers, some unit stationed here at the university taking ROTC training and drilling and that sort of thing. And they set up beds in the big gymnasium, just rows and rows of bunk beds. And every bed was filled. There'd be six, seven hundred kids sick at a time lying there in the gymnasium on cots. And it was bad."
Sam Schrager,0:39:38,"Do you remember the course that that flu took, the sequence of events?"
Lola Gamble Clyde,0:39:43,"Well, it only led to pneumonia. Pneumonia was, I think, was what killed them off. They started with a fever and with a head cold. And then it went to the lungs. And I'm sure it was pneumonia that finished them. The lungs would fill up with fluid and they were gone. And a lot of it went - they went fast. It wasn't a long, drawn -out process."
Sam Schrager,0:40:05,"Did that hit the children very hard too, that flu?"
Lola Gamble Clyde,0:40:07,"Yes, it hit the children too. It just hit - and of course the old and the young were the least - had the least resistance. They were the ones that went first. And our school must have been closed for three months here in Moscow because the flu was just everywhere. There was nobody to go and nobody to teach. They were all down with the flu."
Sam Schrager,0:40:29,Did most people that got it recover?
Lola Gamble Clyde,0:40:32,"Oh yes. I'm sure the majority recovered. But you can look back and think of many who didn't. And it wasn't all the old and the young. Mrs. Bob West, who was a beautiful woman about 28, got it and died. J .H. Rich was a powerful man and he was still in the prime of life, maybe 45. And he was super new to Moscow schools and he died with it. Many, many of them died with it. And it wasn't all the old and the young either."
Sam Schrager,0:41:03,Many of the robust and - What was the treatment at the time? Just lying down?
Lola Gamble Clyde,0:41:07,"Oh, just go to bed and that was about all they did."
Sam Schrager,0:41:14,"Well, getting back to medicine and health on the kids and the homesteads or the country fathers, what about the role that midwives played or that the neighbors played?"
Lola Gamble Clyde,0:41:30,"Oh yes, that was very prevalent. Most of them, they thought it was just ridiculous bothering about doctors, just having a baby was the most normal thing in the world. And your next door neighbor came in and delivered the baby and severed the cord and wrapped him up and brought down hot soup and chicken dinners for them and doctored them up. After they were in bed two weeks, they could get up and take care of their baby. And that was about the way that went. I don't remember the early women getting out of bed on the third day and getting up, you know, although I guess it was done to some extent, but most of them was the only rest they got was when they had a baby. So they'd take their yearly vacation and they'd go to bed for two weeks and have another baby. And that was about the way it went."
Sam Schrager,0:42:20,They were supposed to stay in bed for two weeks after he was born?
Lola Gamble Clyde,0:42:26,"No. In the last couple of days, maybe they could get them and stagger around a little bit. But that certainly made them weaker instead of getting up. But there were some women who prided themselves that the baby, as soon as the baby was born, they just got right out of bed and lit up the washing, washed up the bloody clothes. And of course those stories generally got better with the telling too, you know, as the years went by, it got better and better."
Sam Schrager,0:42:52,"Well, did the midwives, just a neighbor, or was it a woman who had special training in the delivery?"
Lola Gamble Clyde,0:43:02,"Well, I don't think they had much training. There was always a granny woman, you know, like the granny woman that ushered Abraham Lincoln into the world. They were noted for their skill at it. And these granny women, they had no extra training. They just had a little more experience doing it, I think. And we had a very wonderful woman that ushered in a lot of our family into the world. Her name was Mrs. George Tucker. They called her Grandma Tucker. And Grandma Tucker, the baby wasn't really officially born if she hadn't ushered it into the world. They came from all over to get Grandma Tucker to come over and officiate at the birth."
Lola Gamble Clyde,0:43:54,And I guess that was as good as any.
Sam Schrager,0:43:57,Can you remember any other rules that somebody like Grandma Tucker went by besides you had to stay in bed for two weeks?
Lola Gamble Clyde,0:44:05,"Well, lots of beef tea. They would give them lots of beef tea and lots of hot tea so they could nurse their baby, make them lots of milk. And there was great hocus pocus about what to do to have healthy babies. And the granny women would tell them about, don't look at the full moon or the new moon, you know, and don't let the moon shine on the baby's face after the baby was born. And there was much talk about cats would come in the room and suck the baby's breath, keep all the cats away. Otherwise the cats would come and jump right up on the crib and suck the baby's breath and kill it. And that's interesting. Yes, and that sort of thing. And I think those were old wives' tales when I think of those. It seems to me like just the old wives' tales. And there was much talk about you mustn't eat tomatoes or you give the baby colic. And don't eat anything with acid in it. It'll give the baby colic. And there were all kinds of colic remedies. You have a teaspoon full of peppermint in a cup of hot water and spoon a little of that down the baby. And oh, there were many, many crook remedies and colic remedies."
Sam Schrager,0:45:37,"What about surrounding the birth itself? Were the midwives very, did they stress cleansing this very much?"
Lola Gamble Clyde,0:45:47,"Well, there was much putting on washtubs full of boiling water and having a house full of steam. And yes, there were certain rituals of washing your hands, you know. Otherwise you'd get septicemia and blood poisoning. And there was much boiling of water and boiling of rags and that sort of thing, preceded and following the birth."
Sam Schrager,0:46:17,Was it customary for the husband to be in attendance?
Lola Gamble Clyde,0:46:20,"Oh yes, I think the husband was there assisting the granny woman. I think it took all of them. Yes, I think that's right."
Sam Schrager,0:46:30,What about for just the ordinary sicknesses that the family would have? Would they call it a doctor? Very likely to do that?
Lola Gamble Clyde,0:46:38,No.
Sam Schrager,0:46:38,Would a neighbor come and help there?
Lola Gamble Clyde,0:46:40,"Yes, they'd call each other and ask what to do."
Sam Schrager,0:46:43,They have a bad cough and what shall we do?
Lola Gamble Clyde,0:46:47,"And there was much putting turpentine on a lump of sugar and swallowing the lump of sugar and much coal oil and lard mixed together. And turpentine and lard, rub it all over your chest and over your neck. And those were the standard remedies. And the prevention was this hanging of this bag of asperiduh, you know, little flannels. And it had to be a little red flannel bag that you made. You put in this cake of wax called asperiduh. Then you hung that around your neck on a string and you generally put that on the fall and wore it to spring. And that was to ward off diseases and colds and croup and all kinds of bad things. And as I say, the main thing was probably it kept away people who had colds and you didn't catch it from them. The stink was so outrageous."
Sam Schrager,0:47:44,Do you think the kids were afraid of getting sick in those days? Do you remember feeling that way?
