speaker,timestamp,End Time,words
Gus Demus,00:08:33:28,00;09;02;16,"No, you could not. Probably. I had, proved to be steady after you. Only for so long, you see. But at first, you didn't know that you had a steady job. For instance, you're. There are only two ships now on this showed once you've done business, $1 million. Short lunch. You don't have to lay off, and then you have to look for another job."
Gus Demus,00:09:02:19,00;09;11;15,"And there was nothing here because, this is company time. You see, and you had to leave it down that."
Sam Schrager,00:09:11:15,00;09;16;11,"Did that happen during the early years, 1910 to 1920? In there?"
Gus Demus,00:09:16:18,00;09;52;15,"Yes, sure. It did happen. It happened on the summertime in August. They had a big fire here, in 1916. Nothing like 15, 14. I don't remember when. And, when they came back from the fire, the business were down and then the shadow, once you're down and, Laid off all the only men except, some skilled people that they have to have."
Gus Demus,00:09:52:15,00;10;19;06,"You see, because and show on they run two ships that kind of summer school and some same high school. You see, you know, when they shut the one shift down, they always give the school blue with them in order to have them for the other, the, if the business get the better. Why? They're you start again."
Gus Demus,00:10:19:06,00;10;48;04,"They got to have, the because those were hard to do to get a whole new music and they kept them in, in, case of, they had to start the middle again. They have them and they get become a labor. Of course, they could get them easier than the the others."
Gus Demus,00:10:48:06,00;10;49;16,Yeah. That's. Yeah.
Sam Schrager,00:10:49:18,00;11;04;00,"Well, why what was it that stopped? And people like the Italians and and Greeks from, becoming skilled labor themselves, how come they were stuck."
Gus Demus,00:11:04:02,00;11;04;09,On.
Sam Schrager,00:11:04:14,00;11;05;04,Becoming.
Gus Demus,00:11:05:12,00;11;15;27,Some did something. I had a close in here that was a so I. And that skill never
Gus Demus,00:11:16:00,00;11;21;19,But not all of them.
Gus Demus,00:11:21:22,00;11;55;29,"You know, it's, It's hard to explain to you because, now, those fellows that were skilled, they were the founders that work on the case was, you know, on, And then they pretty soon they start to, so, but, the Greeks were, and I thought, there was no Italians in the sewing and are all Greeks."
Gus Demus,00:11:56:01,00;12;08;05,"They were doing none work, which they, others wouldn't do. You see, I just want to stay in that kind of job because too hot."
Sam Schrager,00:12:08:07,00;12;09;13,Which job is is.
Gus Demus,00:12:09:16,00;12;20;16,"Well, it's, it's a different the different jobs and the common labor. You see. And it doesn't pay very much either."
Gus Demus,00:12:20:19,00;12;57;00,"Like, attention or, helping enjoyment or something like that, that, the different, different jobs so that, learn to wage themselves and others didn't, you know, it's a matter of, the individual. So some people can learn faster than the others, and some people do like to try to, better themselves and others don't."
Gus Demus,00:12:57:03,00;13;18;13,"Like me, I worked nine years for and lumber down. Then that. Sure. And I got the job to pull. So it was paying a little more money and better job. But, it's only one place where you see how long."
Sam Schrager,00:13:18:13,00;13;21;07,How long did it take you to to move up to pulling.
Gus Demus,00:13:21:07,00;13;40;20,"So all it took me nine years because, there were others ahead, you see, and you have to wait till the other fellow did something better, or. Or quit or die or do something. You see, in order to vacate that place."
Sam Schrager,00:13:40:22,00;13;49;20,Would tell me to discuss. Do you think it was was it harder for guys who were foreigners to get ahead at the mill?
Gus Demus,00:13:49:21,00;13;55;02,"Oh, yes you do. It's hard to sure because of the language issue."
Gus Demus,00:13:55:05,00;14;22;09,"Gee, yeah. The men that do not don't speak the language is, don't understand what you do. Yeah. I mean, you can learn. You have to talk before you know, Therefore, you cannot teach him, you know, and that, that don't do I go no school, you see that a."
Gus Demus,00:14:22:11,00;14;28;09,That was finished work.
Gus Demus,00:14:28:12,00;14;54;17,"And you can, you could learn the work because you could see that. You see, you sure you want to do it or you. Lots of times they do show them how to do it for a little bit. And then it isn't. It is a skill. You can go ahead and do the work."
Sam Schrager,00:14:54:19,00;15;01;13,"Well, besides the language and I know language was a was a big had to be a big trouble."
Gus Demus,00:15:01:15,00;15;11;28,"Yeah, sure. Yeah. It was, you know, the handicapped because the. No no no. Not able to speak English."
Gus Demus,00:15:12:00,00;15;27;14,"And there were many, many, many, many there were a lot of them. I saw them speak English."
Gus Demus,00:15:27:16,00;15;31;17,Almost all of them.
Gus Demus,00:15:31:19,00;15;39;13,Even myself. I tried to learn as much as possible.
Sam Schrager,00:15:39:16,00;15;51;08,"Yeah, but, you know, I guess I. I just would wonder what kind of opportunity there'd be. There wouldn't be too much chance if you live with, other people that they don't speak English and."
Gus Demus,00:15:51:12,00;16;16;25,"Well, yeah, yeah, that has a lot to do because we stuck together, you see, and we spoke little one language. And now where you can learn. I had a man here up to 19 before our, live, left alone to 1950."
Gus Demus,00:16:16:27,00;16;56;10,"Five, I think. No. Anyway, it was up to 19 of the 50s. And if I, if I knew left was the one only one. Yeah, but there are some, I had a course. You a man? Oh, yeah. German girl. And, Yeah. Good job. Yeah. He was, Sawyer."
Gus Demus,00:16:56:13,00;16;59;27,But there was very many.
Sam Schrager,00:17:00:02,00;17;15;18,"What was language? The only barrier was that he it. Or do you think that. I mean, from what I do, little I can tell, it seems to me like there was some. There was some feeling that Americans had to say. They didn't want foreigners to get the good jobs, but they wanted a good job."
Gus Demus,00:17:15:18,00;17;43;23,"Not just true. That is through. Yes, if they can have a good job themselves. Well, they did, they didn't want them, Greeks or Italians to who have a good job and work at home. You know, you work under the, under this conditions. Why, you, you like it? And all of all, you know, you can do the job, but the."
Gus Demus,00:17:43:25,00;18;08;19,"Oh, it's gonna work down there with the Americans. And lately, that is after World War One. Well, after World War two. And there's a lot of Bush that came back from the war and were working down. Then they had to work under under me, you see, I couldn't find them or home, but I could tell them what to do."
Gus Demus,00:18:08:22,00;18;14;15,"And they didn't, like, see."
Gus Demus,00:18:14:17,00;18;19;11,"Because I run the thing, you see."
Gus Demus,00:18:19:14,00;18;24;07,The three men.
Gus Demus,00:18:24:09,00;18;36;02,"And they expect me, the, the boss, this man, they expect me to know my job. Because if I don't, do I? I lose my own job."
Sam Schrager,00:18:36:05,00;18;43;21,"Well, you think you think they they didn't like to be told by you because you spoke with some accent?"
Gus Demus,00:18:43:24,00;18;55;02,"Not because of that, but because that the middle that they were working under me. You see, they're getting a little more less wages in our region. And that was the point."
Sam Schrager,00:18:55:05,00;18;57;03,But you had all the experience.
Gus Demus,00:18:57:06,00;19;04;25,Yes.
Gus Demus,00:19:04:27,00;19;28;23,"And some they did the the darndest thing, you know, to get you out there. But, of course you had the experience, you understand the job better than they did when they couldn't do that. And, now, it probably was some."
Gus Demus,00:19:28:25,00;19;42;11,But one. Yeah. Depression come in 1930s when we all went to.
Gus Demus,00:19:42:14,00;20;03;20,"No, I wasn't very many. Nobody was left here at all. No, except from a few old timers in there. They kept many men, you know, the families you give them 2 or 3 days a week, you are down there."
Gus Demus,00:20:03:23,00;20;15;16,"And myself, I had a lot of experience in everything. I had quit because I was, I was married men, and they let me out."
Sam Schrager,00:20:15:19,00;20;22;17,Were. Where did most of the people go? Who who were let out? Where did most of the Greeks go?
Gus Demus,00:20:22:18,00;20;42;12,"Well, they were scattered all over the country. And then, some went back. The old country, some that had a little money, you know, they left, went back to the old country, got married. And,"
Gus Demus,00:20:42:14,00;21;00;02,"Yes. They tried to come back, but then again, they couldn't see the best law then that, there was not, established quota that so many can you can go from, from certain countries. You you know that."
Sam Schrager,00:21:00:09,00;21;08;26,Yeah. So you mean that there were guys went back thinking they could come back to the United States and they. Yeah. And then they couldn't.
Gus Demus,00:21:08:29,00;21;40;07,"No, they couldn't because, they established quite, you see, and so many could go from each country every year. The that was best, I think, in the population that was, here in early days. How many people were here. Oh each country now for from England, they were there were more you could go more from Germany, they could go more from Italy."
Gus Demus,00:21:40:07,00;21;50;20,They would go more from Greece to become less. Only 100 a year. They could come from Greece.
Gus Demus,00:21:50:22,00;22;16;09,"Because. Because they were, they were not, so many Greeks here before, in a certain period of the time, I don't know how they best there was, mass in the, population of that country to this country at that certain period of time, all the way back."
Sam Schrager,00:22:16:09,00;22;20;20,"And, you mean it depended on how many Greeks were here already?"
Gus Demus,00:22:20:22,00;22;46;14,"Yes. In the early, the earlier days, much, much earlier than, the hundreds. Yeah. Under 90s or. Yeah, somewhere around there. I don't know exactly when the, this, but, that's what it how the, established that, quite a."
Sam Schrager,00:22:46:16,00;23;00;23,"Well, how come, the people hadn't become citizens already. They they decided to wait or, I mean, they were here from,"
Gus Demus,00:23:00:25,00;23;10;17,"Where there are some that became citizens with, I've been working, nothing makes no difference. You mean for required up to come here?"
Sam Schrager,00:23:10:17,00;23;22;27,"Well, I mean, if if, people had become an American citizen already, then they couldn't. They just go go over and come back. I mean, they were American citizens. They could come out."
Gus Demus,00:23:22:27,00;23;41;01,"Yeah, yeah. Sportsman like the time is seven years. I think. And, then they had to, re, new their citizenship in order to come here because they had to give some reason why they say over there for so long."
Sam Schrager,00:23:41:04,00;23;48;07,"What did did many of your friends want to do they apply, become citizens or did they."
Gus Demus,00:23:48:09,00;24;46;05,"So, yeah. So under 1 or 2, at the Roosevelt administration, we apply for citizenship. And there were many, many, not only Greeks, but, three Swedish people, the Scandinavians, people, that there was a lot of Scandinavians here. They all started to, I think, Roosevelt then, Put in, schools, you know, to for the, for the, the Scandinavians, Greeks, Italians and all foreign population to learn to, to learn to, English language and to learn the how to go, how the government functions here in this, in this country."
Gus Demus,00:24:46:08,00;24;51;12,"I had to learn that myself. And I could tell you everything, but no."
Sam Schrager,00:24:51:14,00;24;55;13,You probably you probably learned more about it than I did when I was in school.
Gus Demus,00:24:55:13,00;25;28;09,"Yes, yes, I did, because I make sure that especially instead of, you see, I had to go to an acknowledge, oh. And I became citizen. I had to go to court. And there was, examiners from, Spokane that came here, and he asked me the questions, and the judge, the judge, federal judge was listening."
Gus Demus,00:25:28:11,00;25;40;18,"And, if you didn't answer the questions, you are rejected. Then you were told to, steady a little more and go back."
Sam Schrager,00:25:40:21,00;25;45;11,What did they say? What they expect the person to know everything.
Gus Demus,00:25:45:11,00;26;11;02,"But by the government, all the government. There's function in United States. Hum, hum. How many branches? Of government this, executive, legislature and so on and so forth."
Gus Demus,00:26:11:04,00;26;20;15,"It's interesting. It's, I got a book in the the new Constitution of United States."
Gus Demus,00:26:20:18,00;26;32;21,"When I learned the whole business. But now it's been so long, you know? Yeah. Not I haven't stayed because I don't have to now, you see."
Sam Schrager,00:26:32:21,00;26;38;15,"Well, well, when did you decide to, become a citizen?"
Gus Demus,00:26:38:17,00;26;46;26,I don't remember when. I think it was in the early 20s.
Gus Demus,00:26:46:29,00;26;53;02,And I was you for a long time. Then.
Sam Schrager,00:26:53:04,00;26;58;07,Was it a big decision for people to make if they wanted to?
Gus Demus,00:26:58:09,00;27;26;12,"Not then make the decision. You had to. You had to go to the courthouse. You had to have to witness for this, for the decision. Final papers. You know, you take your your your, take the first paper, the declaration of intention, the first papers, and then after seven years, if you don't call, why they were, you have to inform."
Gus Demus,00:27:26:14,00;27;48;10,"But, if you did go, then you could go ahead. They never reject you. They tell you to to stay if you win. And they know very much why. They told you to stay even more and go back."
Sam Schrager,00:27:48:12,00;27;54;19,"You did. The people who did, the people who were planning to go back to the old country, did they?"
Gus Demus,00:27:54:22,00;28;25;01,"No, they were not planning you. You see, a young fellows, here they come, here for a long time, and, And, they never thought of them. Didn't American citizenship papers. And on the, depression, came here. They had money and they're young, and they went back to old country and got me. But they found after that why they couldn't come back."
Gus Demus,00:28:25:04,00;28;53;21,"And so 1 or 2, twice. They gone there twice. They came for the first time, but then they could go on the second time because it was a different little. I don't know when the law was passed. I don't remember, but it was, there the."
Gus Demus,00:28:53:23,00;28;58;10,"Later years. And,"
Gus Demus,00:28:58:13,00;29;06;07,"It was, some American citizen. They had a hard time to get back."
Sam Schrager,00:29:06:09,00;29;06;22,Home.
Gus Demus,00:29:06:25,00;29;21;02,"That they were they were American citizen. And they went back. And that made and they tried to get back here, but the they could I don't know the reason."
Gus Demus,00:29:21:04,00;29;26;16,"And,"
Gus Demus,00:29:26:19,00;29;58;06,"Now the in the Second World War, there are some them for reasons that they are they are interested in the Vietnam completely the in other words, they were men without the country. There could come here because, no, there's no the law. And they couldn't stay there because there was a displaced person. You see, they didn't have no, no country."
Sam Schrager,00:29:58:08,00;30;19;12,"Well, do you think that in the years that, people that you knew were here, the ones that stayed for a number of years, did many of them get attached to this town and, and want to to remain a part of it, or did they always feel like they might be leaving any time? No."
Gus Demus,00:30:19:15,00;30;58;18,"No, no, they didn't, they didn't because, they didn't. Lonely, their language. And, it's pretty hard for men that are in learn the language to and go alone. You know, a bunch of fellows, you know, I mean, for instance, I, I oh, I wouldn't have stayed here if you if I was there and I didn't have no nothing to do but, join the Masonic lodge and that they can't be here."
Gus Demus,00:30:58:20,00;31;26;15,"Otherwise, I would have probably one spoken and, because there's no people, Greeks. You spoke in your own. I would have had, communication with them. Go to church or go to some other places with them, or join the lodge. There were lodge or there or there on over there, two. But I like it here. And I, I stay."
Sam Schrager,00:31:26:17,00;31;32;19,"But you think most, most of the people didn't, didn't get any strong attachment."
Gus Demus,00:31:32:21,00;31;34;14,To this place. That's right.
Sam Schrager,00:31:34:16,00;31;43;21,"And it was because they lived, they lived in a group and they, they didn't, really mix that much. No."
Gus Demus,00:31:43:23,00;31;52;00,"No. They lived in a group, and they like to stay in group in that group, you see."
Gus Demus,00:31:52:02,00;32;22;26,"Of course. This, my guest there, you came gradually. I, Didn't, left the way I, I stayed here as long as I was working. And then when I retired. Well, I put in the study because this year we had no transportation here at all. The railroad went out, the bus service went out. That's why I bought a car."
Gus Demus,00:32:22:29,00;32;44;22,"I had to get out and go to a Spokane and a doctor, some for some time or some other business, you know, in Moscow or someplace. And I didn't have know nowhere. I call, I call one man. I had a one man that I was riding with. He was taking me down. He says, I'm going to today."
Gus Demus,00:32:44:24,00;33;05;12,"And it was the emergency. I wanted to go to that place. So I decided then that I. I'm going to buy a car. I couldn't drive it and I couldn't, I never did wrong because for me to. So I wasn't very much. We had no use for car. You see, in young people we could come in ten minutes."
Gus Demus,00:33:05:12,00;33;45;10,"Were, you know, ten minutes, but five minutes we could come home and go back to work. And you didn't need the car because it was, cross crossing for the job. So what? I, Decided to stay here. So somewhere, by the time I went up and went to school. I went to school to learn to drive. Then I was, got experience."
Gus Demus,00:33:45:12,00;34;15;23,"What what who first at one, the one time they give me a woman. No, there was a woman there. The teacher, you know, and the man. I go over there in the morning and I get only one hour or sometimes two hours, but there was $5 an hour, you know, and it was pretty expensive. They gave me a woman went down and she got she was more nervous than"
Gus Demus,00:34:15:25,00;34;34;10,"Then how much? She said, we were crossing the street. The this is what you hurry up and cargo. So they got a bridge. Me?"
Gus Demus,00:34:34:13,00;34;50;05,"But, she was right, because that wasn't the, the stop sign there. It was, through. Then you had to go ahead."
Sam Schrager,00:34:50:07,00;34;59;16,"Well, when you retired from working at the mill, were you the only Greek that was still working from the old days?"
Gus Demus,00:34:59:19,00;35;18;15,"There was another one who didn't. Who died? Yeah, but he was married to some woman up in town. We. And he was living up there, and I hardly ever saw him. I never communicated with him, you know what I mean? He, I didn't care for him anyway."
Sam Schrager,00:35:18:17,00;35;24;21,When did you join the Masonic? Start going with the Masonic Lodge.
Gus Demus,00:35:24:23,00;35;29;15,1945.
Gus Demus,00:35:29:17,00;35;43;26,"30 years in Lodge. Some people are 50, but not. I never get to do that."
Gus Demus,00:35:43:29,00;36;16;09,"Oh, yeah. I took interest in Masonic Lodge. It's a good. Good organization. It's a good, brotherhood. Cause you find. So. I mean, I know, I know, I certainly come as you do in any other, that. No good. But, most of them are living through standards in those other not so good way. They say with. A little cold blood."
Gus Demus,00:36:16:09,00;36;16;26,You know what I mean?
Gus Demus,00:36:16:26,00;36;22;08,"They don't, you know, they don't."
Gus Demus,00:36:22:11,00;36;25;04,Take a bath.
Sam Schrager,00:36:25:06,00;36;40;22,"Well, when, when the people were here from Greece in, in the early days, was mostly, like two guys to a, to a house or. How did."
Gus Demus,00:36:40:23,00;36;58;26,"Oh, yeah, they were three, four, five, six. Then depend on the size of the house. They had and depended on the on the, how they did long."
Gus Demus,00:36:58:28,00;37;25;25,"Then they were. Yeah, they were 4 or 5 in housing. They, they match and they kept track of the, groceries, you know, and everything. And, they did like. Yeah, it's like, and then you have to cook tomorrow. The other fellow here to cook the other day and, each day, each one of one of you take the burden of cooking."
Gus Demus,00:37:25:28,00;37;54;01,"But I was lucky that I had two brothers over there. Down there. I know on and places. And one of them, it was pretty. A pretty good cook. And he did all the cooking. Do you wash dishes? And, my, another guy and his brother, his younger brother and another fella. When there's four of us."
Gus Demus,00:37:54:03,00;37;56;20,"But, that's where they want."
Sam Schrager,00:37:56:22,00;37;59;15,Did that. Were you related to those two brothers?
Gus Demus,00:37:59:17,00;38;14;03,"Not unless, you know, what do I recall from some gent on and one of them, but still living. When I went back there, I met one of them. Yeah, the other was in a different town, and I didn't go there."
Sam Schrager,00:38:14:06,00;38;16;18,There are two. The went back there and stayed.
Gus Demus,00:38:16:20,00;38;20;02,Yeah.
Sam Schrager,00:38:20:04,00;38;20;29,But did you did.
Gus Demus,00:38:21:01,00;38;24;01,"Or the other one was, married men anyway."
Sam Schrager,00:38:24:01,00;38;30;28,"Or would a group like that stick together very long? I mean, would you, did you live with those guys for a long time?"
Gus Demus,00:38:31:02,00;38;44;08,"Oh, yeah. Over $100 over here? Yeah, for a long time. I don't remember how long, but there."
Gus Demus,00:38:44:10,00;39;03;00,"Oh, yeah. This is it. Stay together and get in trouble. I move out, move from one house to the other. Oh, what? I don't get long."
Sam Schrager,00:39:03:02,00;39;22;23,"Sounds like, when I was in school. And, you know, the guys we get together, I live with three other guys. One year and four guys. Another year. Yeah. Same thing. Similar with these, with these guys. Your closest friends."
Gus Demus,00:39:22:25,00;39;56;12,"A good friend. Yeah, yeah. From down back down. And of course I was young then, you know, I did it in the. I didn't care very much. He was doing the cooking and washing dishes and I did what they told me and well. Oh, the one of them, they're all older men."
Gus Demus,00:39:56:14,00;40;02;12,"Yeah. I assume everyone's,"
Gus Demus,00:40:02:14,00;40;15;22,"Like in Army, you know, not in Army. Because, you know, they got to know they got a different, they have a the whole."
Gus Demus,00:40:15:24,00;40;20;18,Gang.
Gus Demus,00:40:20:21,00;40;47;01,"But, that's true. It was it was, you had to have some who had to. And you had to be able to get along if you lived a long way, you had to move the other groups. And if you didn't get along in the other place, you go to the other and so on. But,"
Gus Demus,00:40:47:03,00;40;56;07,"In the long run, you had to get along because you if you then you been all alone."
Sam Schrager,00:40:56:09,00;41;07;08,"Would, It sounds like you, you had 3 or 4 guys, five guys living in a and a house, a small house. You you had to get along well."
Gus Demus,00:41:07:10,00;41;35;27,"The place where the houses were, pretty small. And they have no living room at all those houses that we had down there when I first came over here. I, as I told you in the in the preceding job that, you know, I told you how you were did you put them down? Yeah, I guess, yeah."
Sam Schrager,00:41:36:00,00;41;37;05,"Yeah, I think I said, oh."
Gus Demus,00:41:37:06,00;41;59;01,"Them, oh, them houses were over there, down there. I wanted to come up here after the fire, after they burned them down. I don't know, houses like this, but temporary houses, they were. Well, they were not like, exactly like this. There were, single."
Gus Demus,00:41:59:01,00;42;04;00,"Or, you know."
Sam Schrager,00:42:04:02,00;42;05;12,Flimsy.
Gus Demus,00:42:05:15,00;42;38;11,"Yeah. Temporary. They call them. And they did them temporary. Oh, for the people that come here first. But then they found that they're good and random and they kept until, after World War one. Who? World War two and sold them to, one. Finally got a contract in New Holland, where, you know, all around the farm, you know, for different things, for stock or even for houses."
Sam Schrager,00:42:38:14,00;42;41;10,Where they were the temporary houses. Pretty good houses.
Gus Demus,00:42:41:14,00;42;47;08,"Oh, yeah. Fair? No, they were good."
Sam Schrager,00:42:47:11,00;42;48;01,Those old but.
Gus Demus,00:42:48:01,00;42;59;18,"Not like this, you know. And this year, it cost me a lot of money to, to do one. And this year to put a new, like, a temporary."
Sam Schrager,00:42:59:20,00;43;00;11,
Gus Demus,00:43:00:14,00;43;09;26,"Oh, sure. But the they caught me about $5,000 at that time. Now probably cost more."
Sam Schrager,00:43:09:29,00;43;18;16,"Well, those, when you live in temporary houses, they didn't have a bedroom either. I mean, a, living room. The living room was a bedroom."
Gus Demus,00:43:18:19,00;43;43;14,"In the house or. No, the living room was a kitchen. And and dining room table combined. And that's. You had one table there and one stove. It was a kitchen. And, and, Well, it was kitchen and dining room together."
Gus Demus,00:43:43:17,00;44;03;12,"You see, and you had two bedrooms on here on the side, kitchen and dining room. You had, the storage and I, you store over there and like, the table even over here, you see. And the rooms were like this."
Sam Schrager,00:44:03:12,00;44;06;19,You the other rooms were all bedrooms.
Gus Demus,00:44:06:19,00;44;11;28,"Bedrooms, two, two bedrooms. And each one."
Gus Demus,00:44:12:00,00;44;25;07,"And two men in each room. And sometimes for a fee, it was necessary. They had a double bed."
Gus Demus,00:44:25:09,00;44;49;13,"But, they were, they had no more inside. Yeah. You had to get the water on the outside. And in the wintertime you shut them. The water didn't froze because they're there and they're putting put your hand down. But, the infusion, we kept running."
Gus Demus,00:44:49:16,00;44;53;25,"And if it did, freezes freeze on the top. You see, you can always."
Sam Schrager,00:44:53:27,00;44;58;29,You mean you kept the faucet on during the winter? Yeah.
Sam Schrager,00:44:59:02,00;45;02;06,This was terrible because it was hard to get the.
Gus Demus,00:45:02:08,00;45;14;03,"Well, cold. It wasn't, it was an ugly stay there very long because, they burned down, and I'm glad they did."
Sam Schrager,00:45:14:05,00;45;15;19,Are you talking about the.
Gus Demus,00:45:15:22,00;45;18;23,I stayed couple of couple years. I been down there.
Sam Schrager,00:45:18:25,00;45;20;20,"This is the old places,"
Gus Demus,00:45:20:23,00;45;32;28,"Down the flat. They had their separate place. You see. Which now is, the double logs and all the piling logs."
Sam Schrager,00:45:33:00,00;45;37;04,"You said that place down here, that was pretty bad, right? There wasn't very good living condition."
Gus Demus,00:45:37:04,00;46;10;05,"No, no. And, Them there's, it was, they had a ball game ball park over there next to the ball park way down there. It was flooded. But now they, they put a lot all over the places. You don't see nothing. And there's no there. Barn or no horses. I don't know how many horses that you or."
Gus Demus,00:46:10:05,00;46;27;19,"They used to use horses in a planner. And and green churn all over them. They used to pull the trucks loaded with lumber. You see, now they have those,"
Gus Demus,00:46:27:22,00;46;40;27,"Machines, like, with motors. You. But then they they're they're all. Yeah. I don't know how many horses. They're they're in out in the yard the same way."
Sam Schrager,00:46:41:00,00;46;45;25,Was that was it? Right by the horse barn. The old buildings for living?
Gus Demus,00:46:45:26,00;46;56;05,"Well, yeah, it was a warehouse from work, from it. But you, you know that you got the go the the sawmill. You could go by the the barn."
Sam Schrager,00:46:56:07,00;47;00;08,"Well, what made that such a bad place to live down there?"
Gus Demus,00:47:00:08,00;47;10;29,"Well, I it was, some use one."
Gus Demus,00:47:11:02,00;47;35;18,"From the place or we left. In order to come to town, you had to go through the had a bridge, build a bridge, you know, and there was a water, just there, standing there, you see, it was like, swamp water. It was the river, because the river is run, but this water was run on, you see, when it was flooded."
Gus Demus,00:47:35:18,00;47;48;19,"Well, it was, that's why that's what made it bed. But, I'm glad that the follow button down. Button down, in a way."
Gus Demus,00:47:48:21,00;47;50;03,"Oh, yeah."
Sam Schrager,00:47:50:05,00;47;55;18,You sure was a mistake. He burned it down. He sure was a mistake.
Gus Demus,00:47:55:21,00;48;00;13,It was a mistake. Of course it wasn't. Intentional.
Sam Schrager,00:48:00:13,00;48;02;04,Nor did you did the.
Gus Demus,00:48:02:07,00;48;35;16,"Because it, you know, understand this fellow again from all country. What are they? Don't have no more storage. Nothing. They have, they burn, wood and not to have you would like this, but they burn small wood, you know, in a fireplace. And that's where they cook. And here they do everything over there. And, he thought that was a cemetery over there, but, only the fire started in the box."
